ACN,Party1_Role,Party2_Role,objective_summary,label
1608871,Flight Attendant,Flight Attendant,"The incident involved a flight attendant who encountered a passenger emitting the odor of marijuana. The passenger admitted to smoking marijuana throughout the day and refused to comply with instructions to move to the mid to aft cabin. Flight attendants noticed the passenger's behavior, including his glossy eyes and loud demeanor, and expressed concerns about his condition. They debated whether he should be removed from the overwing window exit seat due to safety concerns. The flight deck was informed but did not provide a verbal response. The A Flight Attendant deemed the passenger acceptable, while others, including the B and C Flight Attendants, disagreed, noting the passenger's behavior and the potential risks of marijuana use. The situation highlighted the need for clarification in the Flight Attendant Manual regarding the definition of ""intoxicated"" to include substances like marijuana, despite its legal status in some states. The crew's handling of the situation and the adequacy of their judgment were questioned.",passenger-related issues
1623939,Flight Attendant,Other,"An incident occurred during a flight due to a Gate Agent's pushy behavior and the flight attendant's distraction. The flight attendant was delayed in assisting an elderly passenger five rows back, managing numerous bags, and dealing with frequent lavatory usage. This led to the exit row passengers not being briefed until after boarding delays and an aisle blockage from a backpack. The flight attendant eventually briefed the exit row passengers after realizing the oversight. The incident highlights the impact of distractions and boarding delays on safety protocols.",passenger-related issues
1443217,Flight Crew,Flight Attendant,"The incident involved an A321 flight where the flight attendant (Party2) reported not receiving the approach announcement from the flight crew (Party1). This led to the cabin not being fully secured for landing. During the landing, a passenger was found in the forward lavatory, which is against safety protocols. The flight attendant instructed the passenger to stay in the lavatory and brace for landing. After touchdown, the passenger attempted to return to his seat but was initially prevented due to the Captain's unresponsiveness. The flight attendant informed the Captain of the situation, after which the aircraft stopped briefly, allowing the passenger to return to his seat. The Captain later apologized, citing that Air Traffic Control had changed the runway three times, which delayed the timely approach announcement. The passenger was unharmed, and the flight attendant conveyed the Captain's apology to the crew.",passenger-related issues
1449060,Flight Attendant,Other,"The incident occurred during meal service when a passenger, booked in Economy Class despite paying for a Business Class ticket on a missed Rome flight, refused to pay for a chicken meal. The flight attendant, adhering to company policy, informed the passenger she couldn't provide the meal complimentary. The passenger became agitated, verbally abused the attendant, and threatened to file a complaint. Despite the attendant's attempts to de-escalate, the passenger grabbed her arm, prompting the attendant to report the incident. The Captain involved the Customer Service Supervisor and Police, who documented the event without pressing charges. The flight attendant, who sustained a bruise, was reassigned to another aisle. No resolution was proposed beyond the attendant's removal from the situation and subsequent reporting.",passenger-related issues
1449276,Flight Attendant,Flight Crew,"The incident occurred after the aircraft landed, when a passenger disregarded safety instructions from the flight attendant. The attendant repeatedly requested the passenger to return to his seat and fasten his seatbelt, as the aircraft was still on an active taxiway. Despite these requests, the passenger continued toward the front of the aircraft, claiming he had a tight connection. The flight attendant informed the captain, who acknowledged the situation as ""weird"" but did not intervene or make an announcement, allowing the aircraft to continue taxiing without stopping. The passenger remained argumentative, and no further action was noted in the report.",passenger-related issues
1324189,Flight Attendant,Ground Personnel,"The incident occurred between a flight attendant (Party1) and ground personnel (Party2) during the boarding process of a flight with 127 passengers. The flight attendant was assisting a non-English speaking woman with an infant and needed to find two adjacent seats for the family. Despite making multiple announcements requesting volunteers to move, the flight attendant faced difficulties in securing the cabin. During this time, the ground personnel (OPS agent) repeatedly closed the forward entry door before the cabin was fully secured, disregarding the flight attendant's instructions to wait until all passengers were seated and bags stowed. The OPS agent dismissed the flight attendant's concerns and even shooed her away, causing the door to nearly hit her. The flight attendant reported the incident to the captain, who then summoned a Ground Operations Supervisor. The OPS agent claimed the door closed due to wind, but the flight attendant and another crew member disputed this, stating the door was manually closed. The situation was ultimately resolved with the supervisor's intervention.",passenger-related issues
1330134,Flight Crew,Flight Attendant,"The flight crew departed from MDPP without prior knowledge of 20-25 ill passengers on board, who were experiencing symptoms such as vomiting and diarrhea. After receiving an initial report of a vomiting passenger, the crew briefly considered returning to the gate but proceeded after the passenger was reported feeling better. Approximately an hour and 20 minutes into the flight, the crew discovered that many passengers were unwell. With limited communication and options, they requested a direct flight to their destination and CDC evaluation. The flight was diverted, landed visually, and parked offsite for CDC evaluation. After assessing the sickest passengers, the CDC cleared the flight to proceed to the gate. The crew successfully diverted the flight and collaborated with the CDC to manage the situation, ensuring safe continuation of the journey.",passenger-related issues
1366917,Flight Attendant,Other,"The incident involved a language barrier and lack of understanding of airplane safety regulations by a non-English speaking family consisting of a mother and four young children (three boys and one girl). During the pre-departure safety demonstration, the youngest child repeatedly left her seat, and the mother failed to ensure compliance with safety protocols. The flight attendant intervened, securing the child initially but facing resistance when attempting to rearrange the seating during takeoff. Due to safety concerns and time constraints, the flight attendant allowed the mother to hold the child during takeoff. Post-takeoff, the flight attendant successfully rearranged the children, securing the youngest girl in her seat. The language barrier and lack of cooperation from the family posed significant challenges, but the flight attendant managed the situation to ensure a safe flight. The proposed solution involved persistent communication and adjustments to seating arrangements to prevent further incidents.",passenger-related issues
1369726,Flight Attendant,Flight Crew,"The incident occurred on a B737 flight during which non-compliant passengers delayed the cabin securing process, as the flight attendants were occupied with addressing their behavior. When the pilots signaled clearance for takeoff, the 'A' flight attendant, unable to confirm with the captain due to a sterile flight deck, initiated takeoff without confirmation. After landing, the captain's assumption that the cabin was secure based on hearing passenger conversation highlighted a communication breakdown. The flight attendant suggested solutions: allowing more taxi time for cabin securing, adding passenger reminders, and enhancing communication between flight crew and attendants to prevent future incidents.",passenger-related issues
1388303,Flight Attendant,Flight Attendant,"The incident occurred during a flight when a passenger in seat 12B, diagnosed with lung cancer, used a personal oxygen bottle not listed on the manifest. The flight attendant, initially unaware, was informed by the passenger's girlfriend that TSA had permitted the bottle. Upon realizing the bottle's presence, the flight attendant retrieved an onboard portable oxygen bottle, instructed the passenger to turn off his personal device, and notified the cockpit. The flight attendant emphasized the importance of verifying oxygen device usage and being vigilant during boarding to prevent similar occurrences. The result was the passenger switching to the provided onboard bottle.",passenger-related issues
1274044,Flight Attendant,Ground Personnel,"The incident originated from concerns raised by the flight attendant regarding a female passenger's medical condition, which included bandaged head injuries, facial swelling, and possible medication use. The passenger's husband insisted she could perform emergency exit duties, despite her unresponsive nature to relevant questions. The flight attendant sought to reseat the passenger from an exit row due to her medical state. The Customer Service Representative (CSR) initially resisted this request. After consultation with the purser and supervisor, the passengers were reseated. Post-takeoff, the female passenger experienced a medical emergency, leading to an in-flight call for medical assistance. An emergency room doctor and other medical personnel assessed her condition, diagnosed a possible seizure or clot, and recommended a diversion. The flight was diverted to Airport ZZZ, where the passenger was removed by EMTs and taken to the hospital. The flight resumed its journey after the incident was resolved.",passenger-related issues
1279697,Flight Attendant,Other,"The incident involved a passenger who smoked an e-cigarette in the aft lavatory during the climb at 12,000 feet, triggering the ECAM warning and the smoke detector. The flight attendants promptly addressed the situation by informing the passenger, leading to the alarm being resolved. The crew notified dispatch, who arranged for a Ground Security Coordinator to meet them at the destination. The passenger was unaware that e-cigarettes are prohibited on board, highlighting the need to include this information in the passenger briefing.",passenger-related issues
1288887,Flight Attendant,Ground Personnel,"An incident occurred on an EMB175 flight involving a flight attendant and ground personnel. The flight attendant completed the passenger count and handed it to the pilots. A gate agent approached them with two boarding passes: one for an upgrade request (YYD) and another for a passenger (XXD) with an interrupted travel itinerary, noting that XXD might have been intoxicated. The flight attendant upgraded YYD and monitored XXD, who appeared fine during the flight. Upon landing, passenger XXC informed the flight attendant that XXD had urinated in the seat during landing. The captain was alerted, and hazmat was called to clean the area. The flight attendants avoided the affected seats and notified the incoming crew. The flight attendant expressed concern about the gate agent's handling of the situation, stating that the crew was only informed just before the cabin door closed, leaving them unprepared. The primary issue was the lack of timely communication from the ground staff. The flight attendant suggested that ground personnel should inform the crew about such situations as soon as possible to ensure preparedness.",passenger-related issues
1307029,Flight Attendant,Other,"The incident occurred during a flight when a Flight Attendant was collecting service items in the aisle. While handling a cup of water handed to her by a passenger in seat 31a, another passenger in seat 31c bumped her arm, causing a small spill of water on passenger 31d. The Flight Attendant apologized, provided paper towels, and inquired if the affected passenger needed further assistance. The situation appeared to be resolved at that point. However, upon arrival at the destination, the same passenger exited the lavatory with a full cup of liquid and threw it at the Flight Attendant, splashing her face and damaging her company-provided iPhone 6. The passenger also used abusive language, calling the Flight Attendant derogatory names. The Flight Attendant requested the passenger to return to their seat, warning that failure to do so would result in police intervention. The Flight Attendant informed the Captain, who escalated the situation to a Level 2 threat, prompting the police to board the aircraft. The passenger was ultimately removed from the aircraft, and statements were collected from the Flight Attendant, another Flight Attendant (FA), and the Captain. No further details on a proposed solution were provided in the context.",passenger-related issues
1309168,Flight Attendant,Other,"The incident involved a flight attendant reporting an increase in passenger non-compliance with safety regulations and instructions. The flight attendant described a pattern of passengers ignoring seatbelt instructions, using restrooms during critical phases of flight, and delaying compliance with requests to stow luggage and turn off electronic devices. Passengers were also observed using electronic devices and earphones, potentially preventing them from hearing safety announcements. Additionally, the flight attendant noted a perceived sense of entitlement among some passengers, leading to disregard for instructions. The flight attendant delayed reporting to determine if the behavior was isolated but observed it consistently across multiple flights, prompting the filing of this report. No specific solution was proposed in the context.",passenger-related issues
1193958,Flight Attendant,Other,"The incident occurred on an A319 aircraft when a male passenger smoked a cigarette in the lavatory, despite the presence of a smoke detector. Flight Attendant B noticed the odor, confronted the passenger, and discovered a smoldering cigarette inside a beer can. She extinguished the cigarette by submerging the can in water and notified the other flight attendant and the captain. Flight Attendant A made a subsequent no-smoking announcement, and the passenger was required to provide his ID and return to his seat. The flight attendant reported the incident to the FAA, and the passenger was informed that the incident would be documented. The smoke detector did not activate, highlighting a potential issue with the system.",passenger-related issues
1242335,Flight Attendant,Other,"The incident occurred on an Air Carrier flight during which a Flight Attendant (FA) encountered a non-compliant passenger, Mr. X, who suffered from dementia. The cause of the incident was Mr. X's refusal to fasten his seatbelt during both takeoff and landing, despite the FA's assistance in securing it. During the final approach, Mr. X unbuckled his seatbelt, stood in the aisle, and displayed erratic behavior, including attempting to grab an infant from a nearby passenger, which alarmed other passengers. The process of the incident involved the FA repeatedly attempting to assist Mr. X in complying with safety protocols. However, Mr. X became combative, grabbing a female passenger's wrist and yelling at the FA. As the aircraft approached the runway, the FA and another FA stationed in the back worked to protect Mr. X from potential injury during landing by positioning themselves strategically. Once the aircraft landed and taxied to the gate, the FAs ensured Mr. X remained in the cabin and prevented him from accessing the exit doors while they were armed. The FAs remained with Mr. X until the aircraft was secured at the gate. The result of the incident was the successful containment of Mr. X and the protection of other passengers and crew until the situation was resolved safely. No physical harm was reported, and the FAs effectively managed the situation.",passenger-related issues
1331524,Flight Attendant,Flight Attendant,"The incident involved a weather-related diversion of an MD-80 flight, causing a three-hour ground delay. During the delay, flight attendants managed medical situations, including a passenger experiencing nausea and a claustrophobic episode, while also addressing passenger unrest. Despite challenges with cabin service and communication, the crew eventually re-boarded the aircraft and proceeded to the original destination, ensuring a safe arrival. The flight attendants coordinated with ground staff for hotel arrangements, concluding a taxing day with fatigue.",passenger-related issues
1152312,Flight Attendant,Other,"The incident occurred during the approach to landing when a passenger entered the lavatory, lit a cigarette, triggering the smoke alarm and message panel. The Flight Attendant requested the passenger return to her seat, but she refused. The Captain addressed the passenger via a public announcement, prompting her to exit the lavatory, where she cursed and claimed to have used feminine hygiene spray. The Flight Attendant discovered the spray but no cigarettes, suggesting the passenger's defiance indicated guilt. The smoke alarm disrupted cockpit communication during a critical phase. The passenger was detained by police but not arrested. The Flight Attendant believes FAA regulations should be enforced against her for smoking in the lavatory and non-compliance.",passenger-related issues
1042669,Ground Personnel,Party1 Flight Crew,"An incident occurred when multiple armed federal agents boarded a flight without prior notification to the crew, resulting in confusion and a delayed departure. The agents included an FAA Inspector, FBI agent, DEA agent, and two Air Marshals. The boarding process began without consulting the flight attendants, who were unprepared, causing a delay as passengers were held on the jet bridge. Communication issues led to the flight attendant being unaware of all law enforcement personnel initially. After an FBI agent and DEA agent arrived, the flight attendant sought a supervisor, who apologized and resolved the confusion by informing all agents of each other's presence. The flight departed 13 minutes late, with the FAA Inspector initiating an investigation.",passenger-related issues
980320,Flight Crew,Flight Attendant,"The incident involved a flight crew and a flight attendant responding to a passenger illness requiring medical attention during a flight in ETOPS airspace. The flight attendant initially requested Medlink assistance, and the crew arranged for a discrete HF frequency to facilitate communication. An onboard emergency room nurse evaluated the passenger, and Medlink advised continuing the flight while providing oxygen as needed. The flight attendant used a therapeutic oxygen bottle, later switching to decompression bottles and mobility bottles as the flight progressed. Despite efforts to manage oxygen levels, confusion arose regarding the naming conventions and operational restrictions of the oxygen bottles. As a result, some bottles were depleted below prescribed limits. Upon landing, the crew reviewed the oxygen usage and discovered discrepancies in the bottle levels, including the therapeutic bottle and one mobility bottle being depleted to 250 PSI. Mechanics were boarded to address the oxygen bottle write-ups and ensure compliance with safety standards. Post-incident, the crew discussed the oxygen bottle usage to clarify naming conventions and prevent future operational issues.",passenger-related issues
946632,Maintenance,Flight Attendant,"The incident occurred when a maintenance crew member requested that boarding be delayed to complete a maintenance procedure in the E&E compartment of a B767-300ER aircraft. Despite this request, boarding commenced. During the process, a passenger fell through the floor access to the E&E compartment, resulting in minor injuries and temporary disorientation. The maintenance crew member had instructed everyone to stay away from the area, but the boarding proceeded regardless. After the fall, the passenger was able to stand and exit the compartment unassisted, with no serious harm reported.",passenger-related issues
904412,Flight Crew,Flight Attendant,"The incident involved a CRJ aircraft diverting to a nearby airport due to a female passenger experiencing a medical emergency, including vomiting and abdominal pains. The flight crew received initial reports from the cabin about the passenger's condition, followed by a request for medical assistance. The cabin crew's communication was described as panicked, with incomplete information provided during initial contacts. The flight crew prepared for the diversion, informed air traffic control (ATC), and requested emergency services at the diversion airport. The aircraft landed at ZZZ, where paramedics transported the passenger to a hospital. Following the landing, the flight crew discovered that emergency oxygen equipment had been used and was not properly serviced. The Captain expressed concern over the cabin crew's handling of the situation and their communication regarding the use of emergency equipment. Maintenance was called to service the oxygen bottle and defer the First Aid Kit, which had been used during the incident. The flight crew also reviewed the inventory of the Enhanced Emergency Medical Kit (EEMK) and found discrepancies in its contents. The flight resumed to its final destination, with no further issues reported during the remainder of the journey. The incident highlighted concerns about the cabin crew's familiarity with administrative procedures related to emergency equipment usage and their communication during critical situations.",passenger-related issues
841451,Flight Attendant,Flight Attendant,"The incident occurred on an oversold flight where a passenger of size caused seating issues. The flight attendant attempted to address the problem by switching seats and informing customer service agents, but they did not proactively resolve the situation, leading to the armrest remaining up throughout the flight. This resulted in safety concerns and a congested aisle. The attendant felt unsupported and guilted by the customer service team, despite the company's policy to prevent such situations.",passenger-related issues
850257,Flight Attendant,Ground Personnel,"The incident involved a passenger with critical medical needs who required a trachea cannula, necessitating specialized oxygen equipment. Initially, the flight attendant noticed the oxygen setup was incorrectly configured for a nasal cannula. A passenger service representative corrected this, but the paramedic accompanying the passenger was denied boarding, despite the Captain's permission. The family was hastily boarded just five minutes before departure, with inadequate communication about the stop in VHHH, leading to confusion and distress when they discovered the additional cost of $500 for oxygen. The flight crew, facing language barriers, attempted to ensure the passenger's safety but ultimately found themselves in a dire situation upon landing, where oxygen was unavailable without payment. The lack of proper communication and documentation exacerbated the crisis, highlighting systemic failures in handling medical emergencies and communication. The crew's efforts to assist were hindered by poor coordination and insufficient information, leaving the family in a perilous and emotionally traumatic situation.",passenger-related issues
864862,Flight Crew,Flight Attendant,"A flight attendant on a CRJ900 aircraft became incapacitated due to food poisoning, which manifested with symptoms including vomiting, diarrhea, and severe cramps. Despite initial attempts to continue her duties, her condition deteriorated, leading her to inform the captain she could not perform her responsibilities. The captain, referencing company procedures (FOM), coordinated with a passenger who was an EMT to monitor her condition and take appropriate actions. The flight landed safely, with the EMT assisting in securing the cabin and moving the flight attendant to a passenger seat. Upon deplaning, she was evaluated by EMTs and later at an airport clinic, diagnosed with food poisoning, and advised against flying. The incident highlighted the importance of early communication with crew scheduling and seeking timely medical assistance.",passenger-related issues
