ACN,Person 1_Location Of Person,Person 1.1_Location In Aircraft,Person 1.2_Reporter Organization,Person 1.3_Function,Person 1.4_Qualification,Person 1.5_Experience,Person 1.6_Cabin Activity,Person 1.7_Human Factors,Person 1.8_Communication Breakdown,Person 1.10_ASRS Report Number.Accession Number,Person 2_Location Of Person,Person 2.1_Location In Aircraft,Person 2.2_Reporter Organization,Person 2.3_Function,Person 2.4_Qualification,Person 2.5_Experience,Person 2.6_Cabin Activity,Person 2.7_Human Factors,Person 2.8_Communication Breakdown,Person 2.9_UAS Communication Breakdown,Person 2.10_ASRS Report Number.Accession Number,Events_Anomaly,Events.1_Miss Distance,Events.2_Were Passengers Involved In Event,Events.3_Detector,Events.4_When Detected,Events.5_Result,Assessments_Contributing Factors / Situations,Assessments.1_Primary Problem,Report 1_Narrative,Report 1.1_Callback,Report 2_Narrative,Report 2.1_Callback,Report 1.2_Synopsis,objective_summary,assigned_labels
1773377,Aircraft X,General Seating Area,,Flight Attendant (On Duty),,,Safety Related Duties,Communication Breakdown; Workload,Party1 Flight Attendant; Party2 Other,1773377,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight; Aircraft In Service At Gate,,Environment - Non Weather Related; Human Factors,Human Factors,During boarding; the passenger originally seated in X2 moved herself to exit row XYA. I was in the back; waiting for the aisle to clear so I could close the overhead bins and brief exit rows. I noticed the customer was in the galley speaking with the forward FA. I wasn't sure what her seat was; so I waited for her to go to her seat before I started walking forward and closing the bins. She grabbed her bag from row X and then sat in XYA; the exit row. I just assumed that was her assigned seat at the time. I closed the bins all the way to the front. I noticed a pilot commuting in row Z who had his mask around his chin and wasn't eating. I requested he put his mask back up and he did. The man behind him in X4 had his mask completely off; so I asked him to put it on and he did. When I asked that guy to put his on; another customer across also pulled theirs up; so I didn't have to ask that third person. I don't recall where the third person was sitting; I only remember they sat in [the area] on the left side of the aircraft. They put their mask up before I asked; so I didn't think much of that.I was quite annoyed that I had to remind so many customers to put their masks up. I briefed the exits like normal. After the door was closed and I did my compliance checks; other flight attendant motioned me toward her before the safety demo. She said that the woman who moved to the exit row was originally seated in [in a different area]; and that many customers had their masks off in that area; so she requested to move else where; and that's why she moved. I told other Flight Attendant that I did notice a lot more than usual with their masks off or down; especially in those first few rows of [that area]. Especially the [commuting] pilot and the guy behind him. Other flight attendant said the woman said something about a crew member not wearing a mask. There were a few flight attendants commuting; too; but they all had their masks on that I knew of. Later; inflight I spoke to the woman who moved; and I apologized and told her that it was not okay that they weren't wearing their masks; and that I did tell them to put them on and they did. She said she was especially appalled that a pilot wasn't wearing one; and said she was traveling to see a family member and was stressed enough. I gave her [a voucher] and offered her wine or beer; which she would have gotten in her [original] seat anyway. She seemed calmer and thanked me a lot.Later; I spoke with the [commuting] pilot and reminded him the importance of wearing masks around customers; and that one did move herself back because he wasn't wearing his. After I told him the first time (before door was closed) to put it back on; he kept it on except when eating or drinking. The man behind him; however; I told twice more (three times total including before door was closed) to put his mask on. Once inflight when I was collecting trash and he was sleeping. He had his mask all the way below his chin; near the collar of his shirt so that it didn't even look like he had one there. And another before landing; when I was doing my final compliance check. There was another guy in main cabin who fell asleep twice and I had to shake him awake and remind him to put his mask up; but his was covering his mouth; it just wasn't over his nose. I checked on the customer in XYA again and told her I spoke with that pilot again; and he has complied with mask requirement since the door was closed. Hopefully he just forgot and takes the mask requirement seriously. I only told him once; so I'm not sure how long he had it off or if he was eating before and just forgot to put it back on. I spoke with flight deck before I spoke with that commuter because our paper work and guest service tool app did not say there was a non-rev seated in Z4. So I asked FD if maybe he was listed as jumpseater; which didn't make sense because there were enough seats for all the non-revs to get on and he had higher priority. So I told FD about the customer complaint about that commuting pilot. When I spoke with him; he said he asked gate agent for a seat without the bulkhead; since he was originally given seat A3. So it seemed the woman who was seated in Z3; was swapped to A3. And the pilot was moved to Z4. I'm not sure exactly.,,,,Flight Attendant reported that many passengers; including a commuting pilot; were not compliant with the face mask policy.,"The incident involved a flight attendant addressing multiple instances of non-compliance with the face mask policy during a flight. The primary cause was several passengers, including a commuting pilot, not adhering to the mask requirements. During the boarding and pre-flight processes, the flight attendant noticed that some individuals, particularly in the exit rows and front sections of the aircraft, had their masks down or off. These included a pilot who initially had his mask around his chin and a passenger seated behind him who had his mask completely off. The flight attendant reminded these individuals to properly wear their masks, and most complied after being asked. A passenger originally seated in a different area moved herself to an exit row, citing concerns about the lack of mask compliance in her original seat area. She later explained that she was stressed and had relocated due to the pilot's mask policy violation. The flight attendant apologized for the situation, provided a voucher, and offered refreshments to the passenger, who appeared calmer afterward. The flight attendant also addressed the commuting pilot again during the flight, reminding him of the importance of mask compliance. The pilot complied after the reminder, and the flight attendant confirmed with the flight deck that the pilot had adhered to the policy post-reminder. The incident was resolved through the flight attendant's reminders and communication with the affected individuals, and no further issues were reported during the flight.","safety related, crew-related issues, passenger-related issues, operational issues, mask policy, communication issues"
1773378,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),,,Boarding; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1773378,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,,Human Factors; Environment - Non Weather Related,Human Factors,Customers in XX1 and 2 didn't know each other and asked me if they can move because they didn't think they could be seated next to each other. I told them once we're finished boarding we can see if there's empty seats or you can talk to the gate agent if not. One of them sits across in XX4 for time being. Customer Service Agent (CSA) comes on and says someone else is assigned that seat. He goes back to see who should be in that seat; comes back and finds him sitting in row XY next to someone; I guess they knew each other. So the other customer stays in XX4.The customer in Y2 was also seated next to a stranger; and asked about moving up to row 1. I said unfortunately because we have seating caps; first class is at its max up there. I said once CSA comes back you can talk to him. I go to get a trash bag to collect the purell wipes; and he's right behind me when I turn around. I was confused why he was there all of a sudden. He said he would go talk to the gate agent. I told him to make sure he has all his bags if he's stepping off; but didn't understand why he didn't just wait for GA to come back. Because he had to come back to sort out the customers in row XX. And he asked why he had to take his things; thinking that meant he'd miss the flight. I asked why not just wait in your seat until the gate agent comes back; and he calmed down and nodded; saying that's a better idea. I guess he didn't hear me when I initially told him to wait for CSA to come back. Then CSA comes on and finishes sorting [out] XX12. Then he talks to Y2 and says exactly what I told him about seat caps; maybe he told him something more I'm not sure. Y2 kept complaining about the whole row 1 being open; and why can't he sit there; as if nobody explained the covid seating caps to him (both me and CSA did).Then; I finish collecting wipes and notice XX2 has a lace mask. Like lacey dress or underwear material; super thin with holes in it. And I ask if she has a regular mask without holes; or we can give one to her. And she has a startled/insulted look on her face; and says how she needs the holes because 'I can only breathe out of my left nostril.' I told her if it's a medical concern; it's not showing up on our end; and we weren't informed of any passengers with medical exceptions. So we would need to talk to the CSA and get that on your booking; so you can get an exception. And then she says how she flew with that mask from ZZZ; and it was fine. I told her it was possible nobody noticed on those flights; and unfortunately it's not allowed. Even if nobody else noticed before; that doesn't mean I can ignore it when I notice.So I go back up and flag down the CSA as he's closing the jetbridge doors. And I ask him about any medical exceptions; and he said nobody was approved for that and that he didn't notice anyone with a lace mask. So he says he'll be back with a mask. We have masks onboard but it was better he did that because she was already giving me attitude about it. He comes back and asks who it was and I said XX2; one of the ones we were talking with earlier. He goes back and gives her the mask and comes back saying how she told him that she wore that mask from ZZZ and I that he told her that it doesn't matter what happened on previous flights. Basically the same stuff from when I spoke to her.She got past him during boarding; then the other FA up front; then me in back during the whole seat issue; and then the GA again when he helped with the seat issue. And it wasn't until near departure time that I even noticed. So I think there's a good chance that on her other flights; those CSAs and FAs didn't notice either.Also; it was obvious she didn't have a medical exemption because she told me she needs a hole-y mask since she can only breathe out of 1 nostril. What I did not tell her was that she was speaking to a FA who hasn't been able to breathe out of either nostril in years because of a medical issue; and I was wearing a regular mask just fine. Iwould feel blessed if I could breathe out of even just one nostril. Somehow she didn't think that breathing out of one's mouth alone is possible in a mask. And I know I'm not the only FA with a similar sinus issue; too; and we all wear regular masks.,,,,Flight Attendant reported that several passengers had seat location issues and another passenger was not wearing a proper face mask.,"The incident occurred during a flight, involving several passengers and the flight attendant (FA). The first issue arose when passengers in seats XX1 and XX2 requested to move due to discomfort sitting next to strangers. The FA explained that seat assignments would be sorted by the Customer Service Agent (CSA) upon boarding completion. One passenger moved to seat XX4, which was initially assigned to another passenger. The CSA eventually resolved the seating arrangement.
The second issue involved a passenger in seat Y2, who sought to move to row 1 but was informed that first class was at capacity. The passenger grew agitated and insisted on speaking to the gate agent. The FA advised the passenger to wait for the CSA, who later confirmed the seating restrictions. Despite efforts to explain, the passenger continued to complain about the seating policy. The final issue occurred when the FA noticed a passenger in seat XX2 wearing a lace mask with holes, which violated the airline's mask policy. The passenger explained that the mask was necessary due to a medical condition, but the FA noted that no medical exception had been filed. The FA referred the passenger to the CSA, who provided a proper mask. The passenger was initially resistant but ultimately complied. The incident was resolved when the CSA ensured the passenger in seat XX2 complied with the mask policy, and the other passengers were reassigned seats as needed.","safety related, operational issues, communication issues, mask policy, between attendant and passengers"
1773379,Aircraft X,General Seating Area,,Flight Attendant (On Duty),,,,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1773379,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,,Human Factors,Human Factors,Passenger in [seat] X4 was told twice by myself and co-worker to fix her mask properly. I told her that her mask should be over her nose and mouth. She told me that she was drinking her water. I stood there while doing my safety demo and not once did I see her take a sip of water. She got upset when I told her that she needs to wear her mask properly.,,,,Flight Attendant reported that a passenger became upset when asked to wear her face mask properly.,"The incident occurred during a flight when a flight attendant requested a passenger seated in X4 to adjust their face mask properly, as it was not covering both the nose and mouth. The passenger responded that they were drinking water, but the flight attendant did not observe any consumption of water during their safety demonstration. This led to the passenger becoming upset. In an effort to de-escalate the situation, the flight attendant suggested moving the passenger to another seat and offered them a drink.","mask policy, between attendant and passengers"
1774093,Aircraft X,General Seating Area,Air Carrier,,Flight Attendant Current,,Boarding; Safety Related Duties,Workload; Physiological - Other; Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774093,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight; Pre-flight; Aircraft In Service At Gate,,Environment - Non Weather Related; Human Factors,Human Factors,As Passenger A boarded our flight; I asked her to please make sure that her mask was on over both her mouth and nose.  She did not comply.  Then while in the cabin during boarding; I noticed Passenger A was still not wearing her mask properly.  I again asked for her to please fix it as it was required.  She informed me that her mask was too large.  I then went and retrieved a mask from the inflight kit and brought it to her.  Passenger A told me that she did not want our mask and that she was not going to change it...I gave her our required paperwork; informed the Captain and asked the gate agent to speak with her.  We decided to continue with her on our flight.  In flight; she was asked multiple times to comply with our policy again to no avail.  I asked for a Supervisor to meet the aircraft.  The Customer Service supervisors met the flight.  Passenger A continued to disregard the safety of everyone on board.,,,,Flight Attendant reported a passenger would not comply with face mask policy.,"Passenger A refused to wear her face mask correctly despite being informed of the policy. The Flight Attendant repeatedly requested compliance, offered a replacement mask, and escalated the issue to the Captain and gate agent. Supervisors were then involved after continued refusal. Passenger A remained non-compliant, posing a safety risk. This summary captures the incident neutrally, highlighting the sequence of events and outcomes without bias.","mask policy, safety related, between attendant and passengers"
1774101,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Time Pressure; Communication Breakdown; Physiological - Other,Party1 Flight Attendant; Party2 Other,1774101,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors,Human Factors,Passenger A would not comply with our mask policy. He was first informed to place his mask on over his nose and mouth and then when I passed by a few minutes later collecting trash; I also noticed he had removed his mask and I reminded him that he needed to place his mask on. He then covered his face with his hoodie and I then handed him one of our masks on board. He then showed me he had one already and I asked him to place it over his mouth and nose; which he didn't when we were in final descent. During deplaning when he walked to the front of the aircraft he still didn't have a mask on; and chose to ignore us again when I told him he needs to have a mask on.We did not serve him a warning because this occurred during initial and final descent.A notice should be placed on his reservation regarding him not complying with the company's face mask policy.,,,,Flight Attendant reported a passenger would not comply with face mask policy.,"A passenger (Passenger A) refused to comply with the airline's face mask policy during the flight. The flight attendant informed Passenger A about the mask policy twice at once during takeoff and again during trash collection. Passenger A removed his mask the second time and covered his face with a hoodie. The attendant provided a mask, which Passenger A declined to use properly during final descent. Despite reminders during deplaning, Passenger A continued without a mask and ignored the attendant. No warning was issued due to the timing during critical flight phases. The flight attendant noted the non-compliance on Passenger A's reservation. A notice regarding the policy violation was proposed to be placed on Passenger A's reservation.","mask policy, safety related, between attendant and passengers"
1774103,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown; Workload,Party1 Flight Attendant; Party2 Other,1774103,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,There were some mask compliance issues with passengers in XX1 and XX3 as well as YY1 and YY2.  Both separate parties did later comply. Row XX complied after I informed them I'd be issuing a warning if they continued to not comply. I told them that they will be banned from our airline if it continued.That was my 3rd time telling them and they complied. All parties eventually complied.,,,,Flight Attendant reported passengers in 2 separate parties would not initially comply with face mask policy until given a warning.,"The incident involved a flight attendant addressing mask non-compliance among passengers in seats XX1, XX3, YY1, and YY2. Two separate groups initially disregarded the policy. The attendant issued warnings, indicating a potential ban if compliance was not met. Following the warnings, both groups complied with the mask requirements. The resolution ensured all passengers adhered to the policy without further issues.","between attendant and passengers, mask policy"
1774104,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774104,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,In-flight,General None Reported / Taken,Human Factors; Environment - Non Weather Related,Human Factors,Passenger A in [seat] X3 did not have his mask on properly when I took his beverage order.  I asked him to please cover his nose.  As soon as I turned around to do the next row of service he turned his head where I couldn't see and pulled the mask below his nose. I picked up garbage and he again/still did not want to comply with our COVID mask policy and had it down.  I asked him again.  He'd pull it up then pull it down again being non-compliant.I let our Flight Attendant (FA) D know. Flight Attendants A; B; D and F were doing two trash pick-ups and told him twice to comply. I walked up doing trash and he had it down under his nose again. I told him that we had asked him for compliance multiple times and we would have to take further steps of compliance wasn't reached.  He muttered something I could [not] hear. I let FA A know and she said she'd keep an eye on him.  We saw that he and his father in [seat] X1 were traveling on to ZZZ.  I guarantee he will cause issues on his next flight.We all agreed that if he didn't comply again we would issue a warning.  We actually gave him more warnings than we should have as he kept pulling the face mask down after we would walk away. I walked by doing visas and Passenger A again was non component with his mask under his nose.  I told our FA A to have a chat with him. He should have been issued a warning but due to bumps on descent we didn't have time and it wasn't safe. Again I know he will be non-compliant on his next leg. He repeatedly did not follow our request to wear his mask properly.  He was non-compliant to our COVID safety mask policy.  Though a warning wasn't issued I think it should have.  Any crew in the future will have problems getting compliance.,,,,Flight Attendant reported a passenger would not comply with face mask policy.,"The incident involved a passenger (Passenger A) seated in [seat] X3 who repeatedly failed to comply with the airline's COVID-19 mask policy during the flight. Flight Attendants, including A, B, D, and F, made multiple requests for Passenger A to properly wear his mask. Despite these requests, Passenger A was observed pulling his mask below his nose multiple times, including after being reminded by the crew. The crew discussed issuing a warning but did not do so due to safety concerns during descent. Passenger A's non-compliant behavior was noted, and it was anticipated that he may cause similar issues on future flights. No formal action was taken during the flight, but the crew expressed concern about his behavior and the potential for future non-compliance.","mask policy, safety related, crew-related issues, passenger-related issues, communication issues, disruptive, between attendant and passengers"
1774107,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Service,Workload; Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774107,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate,General None Reported / Taken,Human Factors; Environment - Non Weather Related,Human Factors,We had an issue with a family in regards to our mask policy. After we did the demo I walked back to compliance and saw that the mother; in [seat] XX4; the face mask was below her nose and when I got closer she pulled it up. The three kids in [seats] XX 123 pulled their masks up and kept them on. I turned to the mother and said that 'I need your mask to stay over your nose at all times.' As I'm saying this she has it pinched between her finger pulled away from her face. She snapped back; 'It's there or it's covering' something along those lines and dismissively continued her conversation with the woman across from her. When I walked to the front of the plane before the demo I told the woman in XX3 to follow the mask policy so XX4 knew we were enforcing it. After my first encounter I informed the crew that I already talked to her and received attitude back and for them to keep an eye out.My second encounter was shortly after that when I went to pass out the [snacks] to the family next to her. As I walked up the mask again was down below her nose and when she saw me there she moved it up. I told her I really need her to keep the mask up and she snapped that it was up. I said it wasn't a moment ago and that I didn't want to have any issues on this long flight. Her responses to that was did I know that the politicians didn't believe in masks and I told her that this wasn't political; it was me doing my job to enforce our policy. She continued to give me attitude and talking about it was political. I went to the back and informed Flight Attendant (FA) C and D how my second encounter went and that she would be an issue the remainder of the flight and I strongly believe we should give her the Warning. They both offered to be the one to talk and give it to her. Flight Attendant C took care of that.While passing out the snack mix; I got to the row the husband was in. He asked for the wife's snack and his mask was down and FA D asked him to make sure his mask was up. XX4 had some kind of response that I missed but FA D told her not to have attitude towards us when we were just doing our job. Then she responded as a victim; saying she's been yelled at the whole flight and that she has been talking to us respectfully and not yelling at us. Which is not the truth because my encounters with her were very unpleasant; disrespectful and had the intent to belittle me and the policy.The remainder of the flight the entire family didn't comply with the mask policy. Their son rarely had the mask on when I passed; the daughters below their nose and the husband as well even though he would pull it up as we passed by. We all spoke to the family at one point and most of us multiple times. The mother was constantly having the mask below her nose or pulling the mask away from her face as she spoke to her kids and the woman across from her. I also was informed that another guest moved his seat because he was so uncomfortable sitting in front of them. I was told after everyone was off that they didn't have their mask on properly while deplaning either.,,,,Flight Attendant reported a family would not comply with face mask policy.,"The incident involved a flight attendant attempting to enforce the face mask policy with a family onboard. The family, particularly the mother, repeatedly failed to comply and displayed disrespectful behavior. The flight attendant addressed the family multiple times, escalating the situation. Another crew member eventually intervened, but the family continued to disregard the policy. Their non-compliance caused discomfort for other passengers, with one moving seats. Despite efforts, the policy wasn't followed, and the flight attendant reported the incident upon landing. The summary remains neutral, focusing on facts without judgment.","mask policy, crew-related issues, between attendant and passengers"
1774109,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Workload; Physiological - Other; Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774109,,,,,,,,,,,,Deviation / Discrepancy - Procedural Security; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Aircraft In Service At Gate; Pre-flight,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,Upon boarding a passenger assigned seat XX1 was walking up the aisle with her mask pulled down. I asked her to cover her nose and mouth with her mask. She does not comply. She asks 'does this plane have oxygen? I can't wear this mask.'  I ask her if she is telling me she has a condition that requires oxygen during the flight then she needs to bring an approved Oxygen Canister on the flight. Meanwhile the passenger in [seat] YY1 sits down; mask below nose; and will not comply with many requests from me to pull her mask to cover her nose. I call the Captain to have him contact a Supervisor to remove these passengers and to let him know the passenger who sat in ZZ1 was demanding that I administer oxygen. Now a young man is trying to sit in ZZ2. I ask if that is his assigned seat. He was assigned [seat] XX2 I ask him to sit in his assigned seat.  He complies. Then a passenger shows up in [seat] YY2. He gets inside my personal space and is belly to belly with me saying he doesn't like how I am talking to these passengers.  [Passenger in seat] ZZ1 is asking me what was I going to do. And I told them that I had called the Captain to get someone to take them off because everyone has to properly wear a mask. I was hemmed in by passenger [in seat] YY2. I finally got past him and went up front. At that point Paramedics came and took the passenger in [seat] ZZ1 off in an aisle chair.  The station manager finally shows up and I tell her removal for mask compliance of passenger in [seat] YY1 and passenger in [seat] YY2 [is necessary] for interference of crew member duties.  All said and done the whole party was removed from the flight.,,,,Flight Attendant reported several passengers were removed from the flight because they would not comply with face mask policy and were interfering with cabin crew duties.,"The incident occurred when a flight attendant encountered multiple passengers who refused to comply with the face mask policy on board the aircraft. The first passenger, seated in XX1, was observed with her mask below her nose and did not adhere to requests to properly cover her nose and mouth. She questioned the oxygen policy, prompting the flight attendant to inquire if she required an oxygen canister, which she did not provide. Another passenger in seat YY1 similarly failed to comply with mask requirements, despite repeated requests. The flight attendant contacted the captain, who in turn reached out to a supervisor to address the situation. A passenger attempting to sit in the incorrect seat (XX2) was redirected to his assigned seat, which he complied with. However, another passenger in seat YY2 became confrontational, invading the flight attendant's personal space and expressing dissatisfaction with her approach. The flight attendant informed the passengers that those not complying with mask policies would be removed, and she summoned the captain again. Paramedics arrived and removed the passenger in seat ZZ1 from the flight. The station manager later arrived and was informed that the passengers in seats YY1 and YY2 needed to be removed for mask non-compliance and interference with crew duties. As a result, all identified passengers were removed from the flight, allowing the journey to continue safely. The solution involved ensuring compliance with mask policies and addressing interference with crew duties through passenger removal.","crew-related issues, emergency, mask policy, passenger-related issues, between attendant and passengers"
1774130,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Service; Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774130,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,,Pre-flight; Aircraft In Service At Gate,General None Reported / Taken,Environment - Non Weather Related; Human Factors; Company Policy,Human Factors,I was the D Flight Attendant sitting in seat X4 (assigned jump seat). There was a [reward system passenger] sitting behind me in [seat] Y4 and his traveling partner in [seat] Y6. This was my first flight back after a COVID exposure from the plane. During boarding I asked Y6 to make sure her mask stayed over her nose. She said it kept falling down. I offered one of ours but she declined. During the safety demo I once again asked her to pull up her mask. As soon as we took off they both removed their masks. Multiple times I asked them to put their masks on. When we were cleaning up for landing the passenger in Y4 started shouting at me asking for my name. He said because he had a drink in front of him he didn't need to put on his mask. I once again explained our policy was that it was only supposed to be removed briefly. He said he had been on 7 different flights and nobody had asked him to put on his mask. I was the first one. I called the B Flight Attendant to join the conversation. She reiterated our policy. After talking to him for a while he said he was extremely frustrated with the inconsistency of mask policy enforcement. He calmed down when we all agreed there should be more consistency with enforcing or explaining our mask policy.Just wanted to write this up as a safety issue. He also said he would be writing in to Airline.  As a [person in the reward system] not sure if he knew better and just didn't want to wear the mask or if nobody on other flights has actually enforced our mask policy. But as someone who travels as often as he does. He clearly needs some clarification.,,,,Flight attendant reported a passenger was not compliant with face mask policy.,"The incident occurred during a flight when a flight attendant (Party 1) noticed a passenger (Party 2) and their traveling partner were not complying with the face mask policy. During boarding, the flight attendant asked the passenger in seat Y6 to ensure her mask was properly covering her nose, but she declined, stating the mask kept falling down. The flight attendant offered a replacement mask, which was also declined. During the safety demonstration, the flight attendant again reminded the passenger to adjust her mask. After takeoff, both passengers removed their masks despite the flight attendant's repeated requests to comply with the policy. The passenger in seat Y4 became confrontational, stating he did not need to wear a mask while drinking and claiming it was the first time he had been asked to do so on any of his seven previous flights. He expressed frustration over inconsistent enforcement of the mask policy. The flight attendant called another flight attendant (Party 2) to assist, who reiterated the policy. After discussing the issue, the passenger calmed down when the flight attendants acknowledged the need for more consistent enforcement or clearer communication of the policy. The passenger indicated he would file a complaint with the airline, and the flight attendant noted the need for consistency in mask policy enforcement across flights.","mask policy, safety related, operational issues, between attendant and passengers"
1774471,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774471,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Pre-flight,General None Reported / Taken,Company Policy; Environment - Non Weather Related; Human Factors,Human Factors,After doing safety demo and walking through the cabin for the final safety check; my A FA informed me that the passenger seated in XX1 was not wearing her mask and that she informed her that she needed to put it on. A FA then asked me when I was doing my walk thru to see if she was complying with her request and I said sure. On my way back to my galley I observed passenger XX1 sitting with her mask off. Since this was the second time I used the last approach to try to get her to comply. I spoke with her about her mask she said she couldn't wear it because she was drinking coffee I said I understand but as the announcement states if she isn't actively drinking she has to replace her mask. She then pulled her mask up and said this is ridiculous. I walked back to my galley and informed my A FA that I had spoken with her again about her mask because she had removed it again. At that point we had made the decision that once inflight we would have the Captain make another general announcement reminding everyone to wear a mask. When I walked through the cabin for my final compliance check before landing she had her mask on.,,,,Flight Attendant reported a passenger not complying with face mask policy.,"The incident involved a conflict between a flight attendant (Party1) and a passenger (Party2) regarding compliance with the face mask policy. During the flight, the flight attendant conducted safety demonstrations and final safety checks. After being informed by another attendant that the passenger (seated in XX1) was not wearing her mask, the flight attendant approached the passenger twice to address the issue. The passenger initially refused to comply, citing that she was drinking coffee. The flight attendant explained that the mask must be worn unless actively drinking, and the passenger reluctantly complied. To ensure compliance, the flight attendant and the other attendant decided to have the captain make a general announcement reminding passengers to wear their masks. During the final compliance check before landing, the passenger was observed wearing her mask. The issue was resolved without further incident. The flight attendant and another attendant decided to have the captain make a follow-up announcement to remind passengers to wear their masks.","between attendant and passengers, mask policy, safety related"
1774490,Aircraft X,General Seating Area,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,Safety Related Duties; Boarding,Communication Breakdown,Party1 Flight Attendant; Party2 Other,1774490,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,Y,Person Flight Attendant,Other unknown,General None Reported / Taken,Human Factors; Environment - Non Weather Related; Company Policy,Human Factors,Passengers seated X4 -X5; we mentioned 4 times that the mask is required for the entire duration of the flight and they were upset.,,,,Flight attendant reported two passengers had to be reminded several times about face mask policy.,"The incident involved a conflict between a flight attendant (Party1) and two passengers seated in rows X4 to X5 (Party2). The flight attendant repeatedly reminded the passengers to wear face masks for the entire duration of the flight, mentioning the requirement four times. However, the passengers became upset and refused to comply. As a result, the flight attendant had to report the incident. No specific solution was proposed in the context, but the situation was managed by the flight attendant's reminders.","safety related, mask policy, crew-related issues, operational issues"
